#BioGRID Chemical Interaction ID	BioGRID Gene ID	Entrez Gene ID	Systematic Name	Official Symbol	Synonyms	Organism ID	Organism	Action	Interaction Type	Author	Pubmed ID	BioGRID Publication ID	BioGRID Chemical ID	Chemical Name	Chemical Synonyms	Chemical Brands	Chemical Source	Chemical Source ID	Molecular Formula	Chemical Type	ATC Codes	CAS Number	Curated By	Method	Method Description	Related BioGRID Gene ID	Related Entrez Gene ID	Related Systematic Name	Related Official Symbol	Related Synonyms	Related Organism ID	Related Organism	Related Type	Notes	InChIKey
30408	4383854	43740578	GU280_gp01_nsp5	nsp5	ORF1ab|ORF1ab-nsp5|SARS-CoV2 nsp5|SARS-CoV-2 nsp5|Mpro|3CLpro|3C-like proteinase|R1AB_SARS2|PRO_0000449623	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Owen DR (2021)	34726479	239593	9961	Paxlovid	(1R,2S,5S)-N-{(1S)-1-Cyano-2-[(3S)-2-oxo-3-pyrrolidinyl]ethyl}-6,6-dimethyl-3-[3-methyl-N-(trifluoroacetyl)-L-valyl]-3-azabicyclo[3.1.0]hexane-2-carboxamide|3-Azabicyclo[3.1.0]hexane-2-carboxamide, N-[(1S)-1-cyano-2-[(3S)-2-oxo-3-pyrrolidinyl]ethyl]-3-[(2S)-3,3-dimethyl-1-oxo-2-[(2,2,2-trifluoroacetyl)amino]butyl]-6,6-dimethyl-, (1R,2S,5S)-|(1R,2S,5S)-N-[(1S)-1-cyano-2-[(3S)-2-oxopyrrolidin-3-yl]ethyl]-3-[(2S)-3,3-dimethyl-2-(2,2,2-trifluoroacetamido)butanoyl]-6,6-dimethyl-3-azabicyclo[3.1.0]hexane-2-carboxamide	-	CHEMSPIDER	114826566	C23H32F3N5O4	small molecule	-	2628280-40-8	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral Mpro/3CLpro protease inhibitor	LIENCHBZNNMNKG-OJFNHCPVSA-N
30409	4383860	43740578	GU280_gp01_nsp12	nsp12	ORF1ab|ORF1ab-nsp12|SARS-CoV2 nsp12|SARS-CoV-2 nsp12|RNA-directed RNA polymerase|R1AB_SARS2|PRO_0000449629	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Gordon CJ (2020)	32284326	239594	9968	Remdesivir	L-Alanine, N-[(S)-hydroxyphenoxyphosphinyl]-, 2-ethylbutyl ester, 6-ester with 2-C-(4-aminopyrrolo[2,1-f][1,2,4]triazin-7-yl)-2,5-anhydro-D-altrononitrile|Veklury|remdesivir|UNII:3QKI37EEHE|GS-5734|2-Ethylbutyl (2S)-2-{[(S)-{[(2R,3S,4R,5R)-5-(4-aminopyrrolo[2,1-f][1,2,4]triazin-7-yl)-5-cyano-3,4-dihydroxytetrahydro-2-furanyl]methoxy}(phenoxy)phosphoryl]amino}propanoate (non-preferred name)	-	CHEMSPIDER	58827832	C27H35N6O8P	small molecule	-	1809249-37-3	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral RNA-directed RNA polymerase inhibitor	RWWYLEGWBNMMLJ-YSOARWBDSA-N
30410	4383949	1489680	SARS-CoV-1ab-nsp12ab	nsp12ab	nsp12|sars1ab|orf1ab|SARS-CoV nsp12ab|SARS-CoV nsp12|SARS-CoV sars1ab|orf1ab-nsp12|orf1ab-nsp12ab|pp1ab|RNA-directed RNA polymerase|Pol|RdRp|R1AB_CVHSA|PRO_0000037318	694009	Severe acute respiratory syndrome-related coronavirus	inhibitor	target	Agostini ML (2018)	29511076	222024	9968	Remdesivir	L-Alanine, N-[(S)-hydroxyphenoxyphosphinyl]-, 2-ethylbutyl ester, 6-ester with 2-C-(4-aminopyrrolo[2,1-f][1,2,4]triazin-7-yl)-2,5-anhydro-D-altrononitrile|Veklury|remdesivir|UNII:3QKI37EEHE|GS-5734|2-Ethylbutyl (2S)-2-{[(S)-{[(2R,3S,4R,5R)-5-(4-aminopyrrolo[2,1-f][1,2,4]triazin-7-yl)-5-cyano-3,4-dihydroxytetrahydro-2-furanyl]methoxy}(phenoxy)phosphoryl]amino}propanoate (non-preferred name)	-	CHEMSPIDER	58827832	C27H35N6O8P	small molecule	-	1809249-37-3	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral RNA-directed RNA polymerase inhibitor	RWWYLEGWBNMMLJ-YSOARWBDSA-N
30411	4383896	14254602	G128_gp01ab_nsp12	nsp12ab	ORF1ab|nsp12|rep|1AB|MERS-CoV nsp12|orf1ab-nsp12|orf1ab-nsp12ab|nsp12ab|RNA polymerase|R1AB_CVEMC|PRO_0000422449	1335626	Middle-East Respiratory Syndrome-related Coronavirus	inhibitor	target	Agostini ML (2018)	29511076	222024	9968	Remdesivir	L-Alanine, N-[(S)-hydroxyphenoxyphosphinyl]-, 2-ethylbutyl ester, 6-ester with 2-C-(4-aminopyrrolo[2,1-f][1,2,4]triazin-7-yl)-2,5-anhydro-D-altrononitrile|Veklury|remdesivir|UNII:3QKI37EEHE|GS-5734|2-Ethylbutyl (2S)-2-{[(S)-{[(2R,3S,4R,5R)-5-(4-aminopyrrolo[2,1-f][1,2,4]triazin-7-yl)-5-cyano-3,4-dihydroxytetrahydro-2-furanyl]methoxy}(phenoxy)phosphoryl]amino}propanoate (non-preferred name)	-	CHEMSPIDER	58827832	C27H35N6O8P	small molecule	-	1809249-37-3	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral RNA-directed RNA polymerase inhibitor	RWWYLEGWBNMMLJ-YSOARWBDSA-N
30412	4383860	43740578	GU280_gp01_nsp12	nsp12	ORF1ab|ORF1ab-nsp12|SARS-CoV2 nsp12|SARS-CoV-2 nsp12|RNA-directed RNA polymerase|R1AB_SARS2|PRO_0000449629	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Kabinger F (2021)	34381216	239595	9952	Molnupiravir	3,4-Dihydrocytidine, N-hydroxy-, 5'-(2-methylpropanoate)|N-Hydroxy-5'-O-isobutyryl-3,4-dihydrocytidine|EIDD-2801|Molnupiravir	-	CHEMSPIDER	84400552	C13H19N3O7	small molecule	-	2349386-89-4	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral RNA-directed RNA polymerase inhibitor	HTNPEHXGEKVIHG-QCNRFFRDSA-N
30413	4383949	1489680	SARS-CoV-1ab-nsp12ab	nsp12ab	nsp12|sars1ab|orf1ab|SARS-CoV nsp12ab|SARS-CoV nsp12|SARS-CoV sars1ab|orf1ab-nsp12|orf1ab-nsp12ab|pp1ab|RNA-directed RNA polymerase|Pol|RdRp|R1AB_CVHSA|PRO_0000037318	694009	Severe acute respiratory syndrome-related coronavirus	inhibitor	target	Barnard DL (2004)	15074711	239596	9952	Molnupiravir	3,4-Dihydrocytidine, N-hydroxy-, 5'-(2-methylpropanoate)|N-Hydroxy-5'-O-isobutyryl-3,4-dihydrocytidine|EIDD-2801|Molnupiravir	-	CHEMSPIDER	84400552	C13H19N3O7	small molecule	-	2349386-89-4	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral RNA-directed RNA polymerase inhibitor	HTNPEHXGEKVIHG-QCNRFFRDSA-N
30414	4383896	14254602	G128_gp01ab_nsp12	nsp12ab	ORF1ab|nsp12|rep|1AB|MERS-CoV nsp12|orf1ab-nsp12|orf1ab-nsp12ab|nsp12ab|RNA polymerase|R1AB_CVEMC|PRO_0000422449	1335626	Middle-East Respiratory Syndrome-related Coronavirus	inhibitor	target	Agostini ML (2019)	31578288	239597	9952	Molnupiravir	3,4-Dihydrocytidine, N-hydroxy-, 5'-(2-methylpropanoate)|N-Hydroxy-5'-O-isobutyryl-3,4-dihydrocytidine|EIDD-2801|Molnupiravir	-	CHEMSPIDER	84400552	C13H19N3O7	small molecule	-	2349386-89-4	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral RNA-directed RNA polymerase inhibitor	HTNPEHXGEKVIHG-QCNRFFRDSA-N
30415	4383852	43740578	GU280_gp01_nsp3	nsp3	ORF1ab|ORF1ab-nsp3|SARS-CoV2 nsp3|SARS-CoV-2 nsp3|R1AB_SARS2|PRO_0000449621	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Fu Z (2021)	33473130	230134	7430	5-amino-2-methyl-N-[(1R)-1-naphthalen-1-ylethyl]benzamide	-	-	DRUGBANK	DB08656	C20H20N2O	small molecule	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral PLpro papain-like protease	UVERBUNNCOKGNZ-CQSZACIVSA-N
30416	4383854	43740578	GU280_gp01_nsp5	nsp5	ORF1ab|ORF1ab-nsp5|SARS-CoV2 nsp5|SARS-CoV-2 nsp5|Mpro|3CLpro|3C-like proteinase|R1AB_SARS2|PRO_0000449623	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Unoh Y (2022)	35352927	239599	9978	Ensitrelvir	1,3,5-Triazine-2,4(1H,3H)-dione, 6-[(6-chloro-2-methyl-2H-indazol-5-yl)imino]dihydro-3-[(1-methyl-1H-1,2,4-triazol-3-yl)methyl]-1-[(2,4,5-trifluorophenyl)methyl]-, (6E)-|(6E)-6-[(6-Chloro-2-methyl-2H-indazol-5-yl)imino]-3-[(1-methyl-1H-1,2,4-triazol-3-yl)methyl]-1-(2,4,5-trifluorobenzyl)-1,3,5-triazinane-2,4-dione	-	CHEMSPIDER	115007411	C22H17ClF3N9O2	small molecule	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral Mpro/3CLpro protease inhibitor	QMPBBNUOBOFBFS-UHFFFAOYSA-N
30417	4383854	43740578	GU280_gp01_nsp5	nsp5	ORF1ab|ORF1ab-nsp5|SARS-CoV2 nsp5|SARS-CoV-2 nsp5|Mpro|3CLpro|3C-like proteinase|R1AB_SARS2|PRO_0000449623	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Swaim CD (2021)	34632326	234511	344	Tioguanine	2-Amino-6-mercaptopurine|2-Amino-6-purinethiol|Tioguanin|2-aminopurine-6-thiol|6-TG|Tioguanine|2-amino-1,9-Dihydropurine-6-thione|2-Amino-1,7-dihydro-6H-purine-6-thione|6-Thioguanine|Thioguanine|2-Aminopurin-6-thiol|6-Mercaptoguanine|2-Amino 6mp|2-amino-1H-purine-6(7H)-thione|Tioguanina|ThG|TG|Tioguaninum|2-Amino-6-merkaptopurin|2-Aminopurine-6(1H)-thione|6-Mercapto-2-aminopurine|6-thioguanine	tabloid|lanvis	DRUGBANK	DB00352	C5H5N5S	small molecule	L01BB03	154-42-7	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral Mpro/3CLpro protease inhibitor	WYWHKKSPHMUBEB-UHFFFAOYSA-N
30419	4383864	43740578	GU280_gp01_nsp16	nsp16	ORF1ab|ORF1ab-nsp16|SARS-CoV2 nsp16|SARS-CoV-2 nsp16|2-O-methyltransferase|R1AB_SARS2|PRO_0000449633	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Krafcikova P (2020)	32709887	238333	1836	Sinefungin	Adenosyl-ornithine|6,9-Diamino-1-(6-amino-9H-purin-9-yl)-1,5,6,7,8,9-hexadeoxydecofuranuronic acid|(2S,5S)-2,5-diamino-6-[(2R,3S,R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxytetrahydrofuran-2-yl]hexanoic acid|sinefunginum|6,9-Diamino-1-(6-amino-9H-purin-9-yl)-1,5,6,7,8,9-hexadeoxy-beta-D-ribo-decofuranuronic acid|sinefungina|sinefungine	-	DRUGBANK	DB01910	C15H23N7O5	small molecule	-	58944-73-3	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; pan-MTase inhibitor	LMXOHSDXUQEUSF-YECHIGJVSA-N
30420	4383854	43740578	GU280_gp01_nsp5	nsp5	ORF1ab|ORF1ab-nsp5|SARS-CoV2 nsp5|SARS-CoV-2 nsp5|Mpro|3CLpro|3C-like proteinase|R1AB_SARS2|PRO_0000449623	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Hoffman RL (2020)	33054210	239600	9959	PF-00835231	1H-Indole-2-carboxamide, N-[(1S)-1-[[[(1S)-3-hydroxy-2-oxo-1-[[(3S)-2-oxo-3-pyrrolidinyl]methyl]propyl]amino]carbonyl]-3-methylbutyl]-4-methoxy-|N-[(2S)-1-({(2S)-4-Hydroxy-3-oxo-1-[(3S)-2-oxo-3-pyrrolidinyl]-2-butanyl}amino)-4-methyl-1-oxo-2-pentanyl]-4-methoxy-1H-indole-2-carboxamide	-	CHEMSPIDER	9736673	C24H32N4O6	small molecule	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral Mpro/3CLpro protease inhibitor	QDIMHKWNHMVDJB-WBAXXEDZSA-N
